"","x"
"184","Cancer"
"185","Cancer"
"186","Cancer"
"187","Cancer"
"188","Cancer"
"189","Cancer"
"190","Cancer"
"191","Cancer"
"192","Cancer"
"193","Cancer"
"194","Cancer"
"195","Cancer"
"196","Cancer"
"197","Cancer"
"198","Cancer"
"199","Cancer"
"200","Cancer"
"201","Cancer"
"202","Cancer"
"203","Cancer"
"204","Cancer"
"205","Cancer"
"206","Cancer"
"207","Cancer"
"208","Cancer"
"209","Cancer"
"210","Cancer"
"211","Cancer"
"212","Cancer"
"213","Cancer"
"214","Cancer"
"215","Cancer"
"216","Cancer"
"217","Cancer"
"218","Cancer"
"219","Cancer"
"220","Cancer"
"221","Cancer"
"222","Cancer"
"223","Cancer"
"224","Cancer"
"225","Cancer"
"226","Cancer"
"227","Cancer"
"228","Cancer"
"229","Cancer"
"230","Cancer"
"231","Cancer"
"232","Cancer"
"233","Cancer"
"234","Cancer"
"235","Cancer"
"236","Cancer"
"237","Cancer"
"238","Cancer"
"239","Cancer"
"240","Cancer"
"241","Cancer"
"242","Cancer"
"243","Cancer"
"244","Cancer"
"245","Cancer"
"246","Cancer"
"247","Cancer"
"248","Cancer"
"249","Cancer"
"250","Cancer"
"251","Cancer"
"252","Cancer"
"253","Cancer"
"254","Cancer"
"255","Cancer"
"256","Cancer"
"257","Cancer"
"258","Cancer"
"259","Cancer"
"260","Cancer"
"261","Cancer"
"262","Cancer"
"263","Cancer"
"264","Cancer"
"265","Cancer"
"266","Cancer"
"267","Cancer"
"268","Cancer"
"269","Cancer"
"270","Cancer"
"271","Cancer"
"272","Cancer"
"273","Cancer"
"274","Cancer"
"275","Cancer"
"276","Cancer"
"277","Cancer"
"278","Cancer"
"279","Cancer"
"280","Cancer"
"281","Cancer"
"282","Cancer"
"283","Cancer"
"284","Cancer"
"285","Cancer"
"286","Cancer"
"287","Cancer"
"288","Cancer"
"289","Cancer"
"290","Cancer"
"291","Cancer"
"292","Cancer"
"293","Cancer"
"294","Cancer"
"295","Cancer"
"296","Cancer"
"297","Cancer"
"298","Cancer"
"299","Cancer"
"300","Cancer"
"301","Cancer"
"302","Cancer"
"303","Cancer"
"304","Cancer"
"305","Cancer"
"306","Cancer"
"307","Cancer"
"308","Cancer"
"309","Cancer"
"310","Cancer"
"311","Cancer"
"312","Cancer"
"313","Cancer"
"314","Cancer"
"315","Cancer"
"316","Cancer"
"317","Cancer"
"318","Cancer"
"319","Cancer"
"320","Cancer"
"321","Cancer"
"322","Cancer"
"323","Cancer"
"324","Cancer"
"325","Cancer"
"326","Cancer"
"327","Cancer"
"328","Cancer"
"329","Cancer"
"330","Cancer"
"331","Cancer"
"332","Cancer"
"333","Cancer"
"334","Cancer"
"335","Cancer"
"336","Cancer"
"337","Cancer"
"338","Cancer"
"339","Cancer"
"340","Cancer"
"341","Cancer"
"342","Cancer"
"343","Cancer"
"344","Cancer"
"345","Cancer"
"346","Cancer"
"347","Cancer"
"348","Cancer"
"349","Cancer"
"350","Cancer"
"351","Cancer"
"352","Cancer"
"353","Cancer"
"354","Cancer"
"355","Cancer"
"356","Cancer"
"357","Cancer"
"358","Cancer"
"359","Cancer"
"360","Cancer"
"361","Cancer"
"362","Cancer"
"363","Cancer"
"364","Cancer"
"365","Cancer"
"366","Cancer"
"367","Cancer"
"368","Cancer"
"369","Cancer"
"370","Cancer"
"371","Cancer"
"372","Cancer"
"373","Cancer"
"374","Cancer"
"375","Cancer"
"376","Cancer"
"377","Cancer"
"378","Cancer"
"379","Cancer"
"380","Cancer"
"381","Cancer"
"382","Cancer"
"383","Cancer"
"384","Cancer"
"385","Cancer"
"386","Cancer"
"387","Cancer"
"388","Cancer"
"389","Cancer"
"390","Cancer"
"391","Cancer"
"392","Cancer"
"393","Cancer"
"394","Cancer"
"395","Cancer"
"396","Cancer"
"397","Cancer"
"398","Cancer"
"399","Cancer"
"400","Cancer"
"401","Cancer"
"402","Cancer"
"403","Cancer"
"404","Cancer"
"405","Cancer"
"406","Cancer"
"407","Cancer"
"408","Cancer"
"409","Cancer"
"410","Cancer"
"411","Cancer"
"412","Cancer"
"413","Cancer"
"414","Cancer"
"415","Cancer"
"416","Cancer"
"417","Cancer"
"418","Cancer"
"419","Cancer"
"420","Cancer"
"421","Cancer"
"422","Cancer"
"423","Cancer"
"424","Cancer"
"425","Cancer"
"426","Cancer"
"427","Cancer"
"428","Cancer"
"429","Cancer"
"430","Cancer"
"431","Cancer"
"432","Cancer"
"433","Cancer"
"434","Cancer"
"435","Cancer"
"436","Cancer"
"437","Cancer"
"438","Cancer"
"439","Cancer"
"440","Cancer"
"441","Cancer"
"442","Cancer"
"443","Cancer"
"444","Cancer"
"445","Cancer"
"446","Cancer"
"447","Cancer"
